254,2062.8,1316.2,38
255,1503,375.31,38
256,1779,-185.04,38
257,1434.1,231.25,38
258,1414.2,13.313,38
259,1387.7,17.806,38
260,1369.6,12.113,38
261,1381.4,-7.9353,38
262,1344.8,24.521,38
263,1334.5,6.9382,38
264,1298.8,23.922,36
265,1285.4,8.9835,36
266,1271.9,9.051,36
267,1264.5,4.9878,36
268,1241.6,15.344,36
269,1218.9,15.193,36
270,1202.1,11.304,36
271,1183.3,12.565,36
272,1176.7,4.4431,36
273,1165,7.8462,36
274,1150.2,9.9359,36
275,1121.5,19.199,36
276,1104.2,11.598,35
277,1068.2,24.183,35
278,1065.3,1.9235,35
279,1050.8,9.6843,35
280,1035,10.639,35
281,1016.1,12.637,35
282,997.24,12.663,35
283,979.43,11.939,35
284,977.89,1.0293,35
285,956.5,14.341,35
286,937.18,12.952,35
287,928.15,6.0577,35
288,915.93,8.1914,33
289,884,21.404,33
290,875.44,5.7416,33
291,851.09,16.326,33
292,849.35,1.164,33
293,825.02,16.314,33
294,812.12,8.6422,33
295,793.66,12.381,33
296,795.66,-1.3394,33
297,778.12,11.752,33
298,754.35,15.937,33
299,740.66,9.1771,33
300,720.08,13.798,31
301,712.02,5.4049,31
302,698.38,9.1473,31
303,673.62,16.594,31
304,676.94,-2.2273,31
305,658.83,12.143,31
306,635,15.98,31
307,618.82,10.846,31
308,601.1,11.881,31
309,594.59,4.3628,31
310,578.08,11.066,31
311,603.46,-17.011,31
312,556.04,31.787,27
313,551.35,3.1418,27
314,541.63,6.5226,27
315,528.79,8.6066,27
316,516.75,8.0726,27
317,498.52,12.22,27
318,482.86,10.499,27
319,471.52,7.5983,27
320,459.6,7.9927,27
321,462.11,-1.6826,27
322,447.75,9.6273,27
323,440.12,5.1179,27
324,427.87,8.2106,24
325,421.57,4.2257,24
326,413.41,5.467,24
327,400.86,8.4164,24
328,386.27,9.7796,24
329,378.36,5.3025,24
